UTC_Timestamp,Download_Resolution,Download_Bitrate,Bandwidth_Estimate,FPS,Skipped_Frames,Buffer_Size,Latency_To_Broadcaster,Codecs,Protocol,Latency_Mode
1741553062562,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553062963,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553063363,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553063764,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553064164,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553064564,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553064965,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553065365,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553065766,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553066167,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553066567,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553066967,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553067368,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553068570,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553068970,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553069370,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553069771,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553067768,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553068169,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553070171,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553070572,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553072175,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553070972,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553071373,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553071774,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553072574,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553072974,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553073375,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553073776,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553074177,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553074578,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553074979,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553075380,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553075781,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553076182,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553076583,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553076984,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
