UTC,Voltage (V),Current (A),Active Power (W),Computed Power (W),Frequency (Hz),Apparent Power (VA),Power Factor (PF),Total Energy (Wh),Resettable Energy (Wh),Elapsed Time (µs)
1740558802848,233,0.014,2,1.951,49.99,3,0.598,32919,32919,15640.497207641602
1740558802875,233,0.014,2,1.951,49.99,3,0.598,32919,32919,15526.533126831055
1740558802904,233,0.014,2,1.951,49.99,3,0.598,32919,32919,15607.357025146484
1740558802932,233,0.014,2,1.951,49.99,3,0.598,32919,32919,15902.75764465332
1740558802960,233,0.014,2,1.951,49.99,3,0.598,32919,32919,16147.851943969727
1740558802988,233,0.014,2,1.951,49.99,3,0.598,32919,32919,16123.294830322266
1740558803016,233,0.014,2,1.951,49.99,3,0.598,32919,32919,15780.68733215332
1740558803043,233,0.014,2,1.951,49.99,3,0.598,32919,32919,15976.905822753906
1740558803072,233,0.014,2,1.951,49.99,3,0.598,32919,32919,16103.744506835938
1740558803101,233,0.014,2,1.951,49.99,3,0.598,32919,32919,17170.190811157227
1740558803130,233,0.014,2,1.951,49.99,3,0.598,32919,32919,16359.090805053711
1740558803158,233,0.014,2,1.951,49.99,3,0.598,32919,32919,16197.20458984375
1740558803186,233,0.014,2,1.951,49.99,3,0.598,32919,32919,16024.112701416016
1740558803215,233,0.014,2,1.951,49.99,3,0.598,32919,32919,16292.810440063477
1740558803243,233,0.014,2,1.951,49.99,3,0.598,32919,32919,15678.40576171875
1740558803271,233,0.014,2,1.951,49.99,3,0.598,32919,32919,16393.89991760254
1740558803299,233,0.014,2,1.951,49.99,3,0.598,32919,32919,16009.56916809082
1740558803328,233,0.014,2,1.951,49.99,3,0.598,32919,32919,16181.468963623047
1740558803356,233,0.014,2,1.951,49.99,3,0.598,32919,32919,15743.017196655273
1740558803384,233,0.014,2,1.951,49.99,3,0.598,32919,32919,16261.577606201172
1740558803413,233,0.014,2,1.951,49.99,3,0.598,32919,32919,16317.605972290039
1740558803442,233,0.014,2,1.951,49.99,3,0.598,32919,32919,16034.603118896484
1740558803469,233,0.014,2,1.951,49.99,3,0.598,32919,32919,15828.371047973633
1740558803497,233,0.014,2,1.951,49.99,3,0.598,32919,32919,15838.384628295898
