UTC_Timestamp,Download_Resolution,Download_Bitrate,Bandwidth_Estimate,FPS,Skipped_Frames,Buffer_Size,Latency_To_Broadcaster,Codecs,Protocol,Latency_Mode
1741452070724,640x360,640x360,750x422,18,537,768,15.07.,15.49.,avc1.4D401F,mp4a.40.2,Low Latency
1741452071126,640x360,640x360,750x422,18,537,768,15.07.,15.49.,avc1.4D401F,mp4a.40.2,Low Latency
1741452071527,640x360,640x360,750x422,18,537,768,15.07.,15.49.,avc1.4D401F,mp4a.40.2,Low Latency
1741452071928,640x360,640x360,750x422,30,537,768,14.96.,15.64.,avc1.4D401F,mp4a.40.2,Low Latency
1741452072328,640x360,640x360,750x422,30,537,768,14.96.,15.64.,avc1.4D401F,mp4a.40.2,Low Latency
1741452072729,640x360,640x360,750x422,34,528,689,14.97.,15.64.,avc1.4D401F,mp4a.40.2,Low Latency
1741452073129,640x360,640x360,750x422,34,528,689,14.97.,15.64.,avc1.4D401F,mp4a.40.2,Low Latency
1741452073530,640x360,640x360,750x422,34,528,689,14.97.,15.64.,avc1.4D401F,mp4a.40.2,Low Latency
1741452073930,640x360,640x360,750x422,34,528,689,14.90.,15.48.,avc1.4D401F,mp4a.40.2,Low Latency
1741452074330,640x360,640x360,750x422,34,528,689,14.90.,15.48.,avc1.4D401F,mp4a.40.2,Low Latency
1741452074731,640x360,640x360,750x422,37,566,724,14.95.,15.48.,avc1.4D401F,mp4a.40.2,Low Latency
1741452075132,640x360,640x360,750x422,37,566,724,14.95.,15.48.,avc1.4D401F,mp4a.40.2,Low Latency
1741452075532,640x360,640x360,750x422,37,566,724,14.95.,15.48.,avc1.4D401F,mp4a.40.2,Low Latency
1741452075933,640x360,640x360,750x422,34,566,724,14.91.,15.33.,avc1.4D401F,mp4a.40.2,Low Latency
1741452076333,640x360,640x360,750x422,34,566,724,14.91.,15.33.,avc1.4D401F,mp4a.40.2,Low Latency
1741452076734,640x360,640x360,750x422,22,581,685,14.81.,15.33.,avc1.4D401F,mp4a.40.2,Low Latency
1741452077134,640x360,640x360,750x422,22,581,685,14.81.,15.33.,avc1.4D401F,mp4a.40.2,Low Latency
1741452077534,640x360,640x360,750x422,22,581,685,14.81.,15.33.,avc1.4D401F,mp4a.40.2,Low Latency
1741452077933,640x360,640x360,750x422,35,581,685,14.82.,15.47.,avc1.4D401F,mp4a.40.2,Low Latency
1741452078335,640x360,640x360,750x422,35,581,685,14.82.,15.47.,avc1.4D401F,mp4a.40.2,Low Latency
1741452078736,640x360,640x360,750x422,41,550,725,14.72.,15.47.,avc1.4D401F,mp4a.40.2,Low Latency
1741452079137,640x360,640x360,750x422,41,550,725,14.72.,15.47.,avc1.4D401F,mp4a.40.2,Low Latency
1741452079538,640x360,640x360,750x422,41,550,725,14.72.,15.47.,avc1.4D401F,mp4a.40.2,Low Latency
1741452079939,640x360,640x360,750x422,19,550,725,14.75.,15.34.,avc1.4D401F,mp4a.40.2,Low Latency
1741452080340,640x360,640x360,750x422,19,550,725,14.75.,15.34.,avc1.4D401F,mp4a.40.2,Low Latency
1741452080742,640x360,640x360,750x422,38,566,726,14.69.,15.34.,avc1.4D401F,mp4a.40.2,Low Latency
1741452081143,640x360,640x360,750x422,38,566,726,14.69.,15.34.,avc1.4D401F,mp4a.40.2,Low Latency
1741452081544,640x360,640x360,750x422,38,566,726,14.69.,15.34.,avc1.4D401F,mp4a.40.2,Low Latency
1741452081944,640x360,640x360,750x422,22,566,726,14.66.,15.19.,avc1.4D401F,mp4a.40.2,Low Latency
1741452082344,640x360,640x360,750x422,22,566,726,14.66.,15.19.,avc1.4D401F,mp4a.40.2,Low Latency
1741452082744,640x360,640x360,750x422,34,566,733,14.69.,15.19.,avc1.4D401F,mp4a.40.2,Low Latency
1741452083151,640x360,640x360,750x422,34,566,733,14.69.,15.19.,avc1.4D401F,mp4a.40.2,Low Latency
1741452083552,640x360,640x360,750x422,34,566,733,14.69.,15.19.,avc1.4D401F,mp4a.40.2,Low Latency
1741452083954,640x360,640x360,750x422,35,566,733,14.66.,15.23.,avc1.4D401F,mp4a.40.2,Low Latency
1741452084355,640x360,640x360,750x422,35,566,733,14.66.,15.23.,avc1.4D401F,mp4a.40.2,Low Latency
1741452084756,640x360,640x360,750x422,33,619,779,14.37.,15.23.,avc1.4D401F,mp4a.40.2,Low Latency
1741452085156,640x360,640x360,750x422,33,619,779,14.37.,15.23.,avc1.4D401F,mp4a.40.2,Low Latency
1741452085556,640x360,640x360,750x422,33,619,779,14.37.,15.23.,avc1.4D401F,mp4a.40.2,Low Latency
1741452085958,640x360,640x360,750x422,34,619,779,14.61.,15.07.,avc1.4D401F,mp4a.40.2,Low Latency
1741452086359,640x360,640x360,750x422,34,619,779,14.61.,15.07.,avc1.4D401F,mp4a.40.2,Low Latency
1741452086760,640x360,640x360,750x422,34,619,779,13.75.,15.07.,avc1.4D401F,mp4a.40.2,Low Latency
1741452087160,640x360,640x360,750x422,34,619,779,13.75.,15.07.,avc1.4D401F,mp4a.40.2,Low Latency
1741452087560,640x360,640x360,750x422,34,619,779,13.75.,15.07.,avc1.4D401F,mp4a.40.2,Low Latency
1741452087960,640x360,640x360,750x422,38,562,422,14.51.,15.22.,avc1.4D401F,mp4a.40.2,Low Latency
1741452088360,640x360,640x360,750x422,38,562,422,14.51.,15.22.,avc1.4D401F,mp4a.40.2,Low Latency
1741452088760,640x360,640x360,750x422,30,633,798,14.48.,15.22.,avc1.4D401F,mp4a.40.2,Low Latency
1741452089161,640x360,640x360,750x422,30,633,798,14.48.,15.22.,avc1.4D401F,mp4a.40.2,Low Latency
1741452089563,640x360,640x360,750x422,30,633,798,14.48.,15.22.,avc1.4D401F,mp4a.40.2,Low Latency
1741452089963,640x360,640x360,750x422,27,633,798,14.49.,15.07.,avc1.4D401F,mp4a.40.2,Low Latency
